company_key,combo_score,z_combo,z_mom,z_growth,z_value,mom_12_1,rev_qoq_growth,rev_yoy_growth,eps_qoq_growth,eps_yoy_growth,z_rev_qoq_growth,z_rev_yoy_growth,z_eps_qoq_growth,z_eps_yoy_growth,earnings_yield,book_to_price,fcf_yield,z_earnings_yield,z_book_to_price,z_fcf_yield,mktcap,weight
MU,2.743811513911007,3.006907448322795,5.67994357141367,2.9778437120113015,-0.42635274169194987,3.6003776215846077,0.494686066427485,0.7763653066198388,1.623913043478261,7.560283687943263,3.634870353540216,4.179649903454892,0.9119926888844146,3.1848619021656837,0.040433886330075317,0.12245882628113362,0.004891269644957494,-0.1392136875668239,-0.696979488001647,-0.4428650495073787,591564177408,0.03503453724161397
SNDK,2.6423780132639876,2.8359311015056163,5.7132668863825975,2.8682001254574825,-0.6543329720481164,3.620128842916809,0.31065857885615245,0.6124733475479744,5.866666666666667,6.152777777777779,2.219320851787219,3.16154753883111,3.5072633573732226,2.584668753838378,,0.06448047756820906,0.007922764109164468,,-0.9112887716533646,-0.3973771724428681,157962551296,0.03417965550752808
LITE,2.364533137187688,2.3675956739557913,5.7132668863825975,2.4448187445837353,-1.0644862194032696,3.620128842916809,0.2467216185837393,0.6546494281452013,9.165142857142888,-2.0113636363636367,1.7275142556550311,3.423546770701732,5.524924354953967,-0.8967104029757909,0.004001489034099369,0.013792341540305255,-0.00034741934679202404,-1.5733358073140018,-1.098650750097558,-0.5214721007982491,61381152768,0.03183797836977895
SATS,2.208269465090754,2.1041975695332136,5.7132668863825975,1.61021629681227,-0.6986747879226058,3.620128842916809,0.05028860695611659,-0.043087136728630515,9.165142857142888,,0.2165407842080531,-0.9108162487252102,5.524924354953967,,,0.16412891899852144,-0.022534940064941982,,-0.5429515117275782,-0.8543980641176336,35135971328,0.030520987847666065
CIEN,2.1372666484294354,1.9845151950805393,5.7132668863825975,1.6934606789580866,-0.9949276200523786,3.620128842916809,0.05551692919442841,0.3308731091339787,6.923076923076923,2.3225806451612905,0.2567573248842261,1.412237382118683,4.153464102419532,0.9513839064099054,0.0030809944451826846,0.038988405277143034,0.009767552752240566,-1.6095700863911793,-1.0055168390746485,-0.3696959346913081,71594262528,0.029922575975402693
WDC,1.9046156058195078,1.5923585102089721,5.7132668863825975,0.5797418145472593,-0.5791618834713338,3.620128842916809,0.07061745919091544,0.25238688252386887,0.5407166123778504,1.9018404907975466,0.3729114277024142,0.9246783014006797,0.24940697792482788,0.7719705511611152,0.02640181562117809,0.052192249315276835,0.028460658410289552,-0.6915710530731747,-0.9567105791504045,-0.08920401819042219,137009307648,0.027961792551044858
STX,1.7160376803302384,1.2744914881220757,5.7132668863825975,0.3268109668879909,-0.8919648122798738,3.620128842916809,0.07455306200076084,0.21505376344086025,0.06995884773662553,0.6774193548387097,0.4031842998156897,0.6927637094192273,-0.03855313643566492,0.24984899475271144,0.014852482911847096,0.003531031054005708,0.00820674547888995,-1.1461981085538369,-1.1365803246450388,-0.3931160036407461,133487755264,0.026372457440610373
TER,1.6630106041212542,1.1851090285325314,4.43221170655734,1.4994020112047426,-0.9425819053983205,2.8608285026269877,0.4083761261554062,0.43891622082551884,1.1733333333333333,0.8111111111111109,2.9709695713208513,2.0834048275345705,0.6363753871480627,0.30685825881548545,0.00863184110092573,0.044554722332742686,0.00430000395042098,-1.3910669802778461,-0.9849416856381388,-0.4517370502789767,62936887296,0.025925545142662654
FIX,1.4206537451491588,0.7765922159526969,4.028664008364959,1.0120424932760037,-0.7787452661934875,2.6216398170916424,0.08286449284919839,0.5646556572812766,0.2739393939393939,1.5696821515892423,0.4671162805845943,2.8645024378568418,0.08622071930016288,0.6303305353624165,0.019341819917869606,0.010231097995298196,0.017415268533257217,-0.969480187659634,-1.1118144149825089,-0.2549411959383192,63154556928,0.023882961079763478
PSX,1.2812614143054553,0.5416324506881208,0.9927467869718828,2.479303071254199,0.37173438469028386,0.8222068062435621,-0.011791974503838953,0.012557518183167637,9.165142857142888,12.329166666666666,-0.2609864445441906,-0.565149780002758,5.524924354953967,5.218424154609776,0.06581352593003562,0.4419621883669365,0.01916757128663695,0.8598285178039075,0.484022354461311,-0.22864771819436688,65801244672,0.022708162253440602
