date,return,leverage_t,rolling_vol_ann,rf_monthly,r_blend
2000-02-29,-0.043234666483779695,2.0082638195020484,0.026291366446611494,0.0043,-0.019348613807660148
2000-03-31,-0.005844606625203846,2.0082638195020484,0.026291366446611494,0.004699999999999999,-0.0005296892125103
2000-05-31,-0.006702947830200711,2.0082638195020484,0.026291366446611494,0.005,-0.0008064765816539004
2000-06-30,0.02230768987718048,2.0082638195020484,0.026291366446611494,0.004,0.013137096775566851
2000-07-31,-0.00777861558831663,2.0082638195020484,0.026291366446611494,0.0048,-0.00144250881487565
2000-08-31,0.014984964026229052,2.0082638195020484,0.026291366446611494,0.005,0.0099928574728765
2000-10-31,0.02426517986949368,2.0082638195020484,0.026291366446611494,0.005600000000000001,0.014915106252629401
2000-11-30,0.03886112190782203,2.0082638195020484,0.026291366446611494,0.0051,0.021932018070555497
2001-01-31,0.039857123213475,2.0082638195020484,0.026291366446611494,0.0054,0.02257858673294645
2001-02-28,0.030040927040096282,2.0082638195020484,0.026291366446611494,0.0038,0.01688739308916715
2001-04-30,0.019477942286858882,2.0082638195020484,0.026291366446611494,0.0039000000000000003,0.011677839309583899
2001-05-31,0.005617033668892019,2.0082638195020484,0.026291366446611494,0.0032,0.00442446296024045
2001-07-31,0.044827039610054194,2.0082638195020484,0.026291366446611494,0.003,0.023848381669752398
2001-08-31,-0.00604756865347824,2.0082638195020484,0.026291366446611494,0.0031,-0.0014340445675393
2001-10-31,0.01088282016390676,2.0082638195020484,0.026291366446611494,0.0022,0.0065444646423742
2001-11-30,0.01799250509525747,2.0082638195020484,0.026291366446611494,0.0017000000000000001,0.00983365053391585
2001-12-31,0.024183636475514785,2.0082638195020484,0.026291366446611494,0.0015,0.01281606676737765
2002-01-31,0.035137826048738136,2.0082638195020484,0.026291366446611494,0.0014000000000000002,0.01822041807116415
2002-02-28,0.016829222172042736,2.0082638195020484,0.026291366446611494,0.0013,0.0090535794915545
2002-04-30,0.0023215424499065285,2.0082638195020484,0.026291366446611494,0.0015,0.00192999999999995
2002-05-31,0.013038991850016642,2.0082638195020484,0.026291366446611494,0.0014000000000000002,0.0072164682991661
2002-07-31,-0.0013333310093373394,2.0082638195020484,0.026291366446611494,0.0015,0.00011008300316330005
2002-09-30,0.013267704897511577,2.0082638195020484,0.026291366446611494,0.0014000000000000002,0.0073303542564163
2002-10-31,0.017631115695975266,2.0082638195020484,0.026291366446611494,0.0014000000000000002,0.00950308214011915
2002-12-31,-0.009669873329412448,2.0082638195020484,0.026291366446611494,0.0011,-0.00424185908880895
2003-01-31,-0.007545356115072754,2.0082638195020484,0.026291366446611494,0.001,-0.0032341773227294
