,sharpe,ci_low,ci_high
Static FF5,0.9947,0.3678,1.5775
Method A,0.0661,-0.7252,0.7553
Method B,1.0687,0.5215,1.7174
Method C,0.9731,0.4412,1.5515
Pure ensemble,0.8437,0.2740,1.4685
Inertia,1.0640,0.4330,1.6436
MPSIF backtest,0.5124,0.0081,0.9514
MPSIF + overlay,0.5896,0.0647,1.0483
