date,Static FF5,Method A,Method B,Method C,Pure ensemble,Inertia,MPSIF backtest,MPSIF + overlay
2000-02-29,0.01724000000000001,-0.03465723093633992,-0.033479999999999996,-0.005217227615320404,-0.024451486183886772,0.006011386192339803,0.1463421868837512,0.0705624796342154
2000-03-31,0.018099999999999998,-0.010508746225126979,0.001759999999999999,-0.0028193784250205613,-0.0038560415500491804,0.007640310787489718,0.0614527337279508,0.029316677651465117
2000-05-31,-0.00978,0.009234420010180535,0.006840000000000001,-0.008452953163307877,0.002540488948957553,-0.009116476581653939,-0.0174786036901359,-0.012965778426721888
2000-06-30,0.026680000000000002,0.008530790013098196,0.015240000000000004,0.01103419355113379,0.01160166118807733,0.018857096775566896,0.045276996592744,0.028155595071938894
2000-07-31,0.00572,0.006448178701395796,-0.0022199999999999998,-0.0006650176297514134,0.0011877203572147944,0.0025274911851242933,-0.0308267596550412,-0.015745888642396306
2000-08-31,0.02062,0.014952182012782474,0.015220000000000001,0.0047657149457530305,0.011645965652845168,0.012692857472876514,0.1485224004632141,0.07664405770448357
2000-10-31,0.045180000000000005,0.017766934065895353,0.01908,0.01075021250525884,0.015865715523718068,0.02796510625262942,-0.0584350785278042,-0.02384243301127268
2000-11-30,0.03746,0.015212524195864625,0.03362,0.010244036141111069,0.019692186778991896,0.023852018070555536,-0.1412775377575696,-0.06551675080822926
2001-01-31,0.0464,0.05813542651466971,0.02816,0.016997173465892974,0.034430866660187555,0.03169858673294648,0.0407377767972994,0.02886747513159619
2001-02-28,0.017220000000000003,0.04418284262131526,0.03172,0.0020547861783343346,0.025985876266549867,0.009637393089167168,-0.003901115155145,-0.0009231644884053326
2001-04-30,0.019700000000000002,0.012441345176203194,0.018340000000000002,0.00501567861916786,0.011932341265123686,0.01235783930958393,0.0451474856482243,0.02508158213369608
2001-05-31,0.006780000000000001,0.009486737485316582,0.00364,0.00520892592048093,0.006111887801932504,0.005994462960240466,0.0143014640690484,0.009755194994764665
2001-07-31,0.01868,0.027935253720911258,0.031479999999999994,0.016216763339504975,0.025210672353472074,0.01744838166975249,-0.0188691613650458,-0.0013261990127704133
2001-08-31,-0.010159999999999997,0.01993763939599109,-0.010159999999999997,0.007291910864921367,0.00568985008697082,-0.0014340445675393152,-0.0221647280058425,-0.007436408570460568
2001-10-31,0.00834,-0.015463878085927762,0.011699999999999999,0.0013889292847485322,-0.000791649600393077,0.004864464642374266,-0.0076057746691997,-0.0031084226922255837
2001-11-30,0.015060000000000004,0.0063133374825365685,0.014540000000000003,0.005127301067831737,0.00866021285012277,0.01009365053391587,0.0663254548823282,0.03572637797507997
2001-12-31,0.02164,0.020191832565842265,0.02164,0.003992133534755363,0.015274655366865874,0.012816066767377681,0.0397966437759203,0.021894388655337833
2002-01-31,0.025619999999999997,0.027003391053743837,0.025619999999999997,0.010820836142328417,0.021148075732024083,0.01822041807116421,-0.0009952236478134,0.004912806247257508
2002-02-28,0.0166,-2.670110331884738e-05,0.0166,0.0015071589831090362,0.006026819293263396,0.009053579491554518,-0.0078232773888708,-0.0031580592028808818
2002-04-30,0.0038599999999999997,0.006684995224143014,0.0038599999999999997,0.0,0.0035149984080476717,0.0019299999999999999,0.0006234794701112,0.0003117397350556
2002-05-31,0.006959999999999999,0.022327557835972102,0.006219999999999998,0.008212936598332336,0.012253498144768143,0.007586468299166167,0.02268166317156,0.015447299884946168
2002-07-31,0.004399999999999999,-0.0017645839835895116,0.00118,-0.0009598339936734045,-0.000514805992420972,0.0017200830031632974,-0.0850961139763773,-0.04302797398502535
2002-09-30,-0.00528,-0.02819279643720332,0.0070999999999999995,0.007560708512832731,-0.004510695974790198,0.0011403542564163657,-0.0816372909072758,-0.03703829119722153
2002-10-31,0.007299999999999999,-0.020263997188144485,0.0178,0.0012061642802383185,-0.0004192776359687222,0.0042530821401191585,0.0319180970207962,0.01656213065051726
2002-12-31,-0.0057799999999999995,0.005135927668648375,-0.0057799999999999995,-0.002703718177618035,-0.0011159301696565531,-0.004241859088809017,-0.0008663528734874,-0.0017850355255527174
2003-01-31,-0.007999999999999998,0.004812703618381461,-0.003919999999999999,-0.002548354645458983,-0.000551883675692507,-0.00527417732272949,-0.0032002412544613,-0.0028742979499601414
2003-02-28,0.0012399999999999998,0.0038094150535011757,0.00546,-0.00041867423108941015,0.0029502469408039214,0.0004106628844552948,-0.0160024228408202,-0.008210548535954805
2003-03-31,0.013680000000000001,-0.017261839534990026,0.01124,0.0007184449040161822,-0.0017677982103246146,0.0071992224520080915,0.0132031414065158,0.006960793155265991
2003-04-30,0.01532,-0.02901802461989726,0.01532,-0.002144387192040533,-0.005280803937312597,0.006587806403979733,0.0594266108981613,0.028641111853060383
2003-06-30,0.005659999999999998,-0.0013983117227703104,-0.007800000000000001,0.003269763412854315,-0.001976182769971999,0.004464881706427157,0.011272555273877,0.007271159343365657
2003-07-31,0.012399999999999998,-0.004289429111718583,0.012399999999999998,-0.0008373679622713561,0.002424400975336686,0.005781316018864321,-0.0233335906318781,-0.012085479297074727
2003-09-30,0.022379999999999997,-0.0007143745492925845,0.0005400000000000002,0.0021089016478661104,0.0006448423661911754,0.012244450823933054,0.0026016960833201,0.0023552988655931055
2003-10-31,0.01454,-0.00028449058298206966,0.01454,0.0018922636320674476,0.005382591016361793,0.008216131816033725,0.1043774957165076,0.053134879674287525
2003-12-31,0.013519999999999999,-0.003293866876197303,0.0086,0.0025234568143297493,0.0026098633127108156,0.008021728407164874,0.023901629996004,0.013212543405166874
2004-03-31,-0.01296,-0.00022099848823599124,-0.013420000000000001,-0.000751891134183845,-0.0047976298741399465,-0.0068559455670919225,0.0089378664576103,0.004092987661713227
2004-04-30,-0.0011199999999999997,0.0032346159400084033,-0.0011199999999999997,-0.0005132558699050876,0.0005337866900344387,-0.0008166279349525437,-0.0593674369089399,-0.029940346389422494
2004-06-30,-0.0004199999999999988,-0.01794448153570244,-0.0004199999999999988,0.0009949222637112927,-0.005789853090663716,0.00028746113185564693,0.0536813590198994,0.027338140641805345
2004-08-31,0.003119999999999999,0.0017588462418904438,0.0060999999999999995,-0.0009228282915442535,0.00231200598344873,0.001098585854227873,-0.033580963566918,-0.017251895929231126
2005-01-31,0.0082,-0.0015492005766697399,0.0088,0.0021194746878430587,0.0031234247037244395,0.0051597373439215295,0.0124794455464061,0.007299460117124579
2005-02-28,0.0010200000000000005,-0.008537027668607094,-0.0016599999999999996,-0.0007458173559223783,-0.0036476150081764906,0.00013709132203881108,0.0747713589607557,0.037012770802416654
2005-03-31,-0.0128,0.0006737222690593809,-0.0031600000000000005,-0.0005592573942515583,-0.0010151783750640593,-0.00667962869712578,-0.0003531654751208,-0.0004562114346861792
2005-05-31,0.013979999999999998,-0.004322584990169733,0.007679999999999999,0.001561304626955498,0.0016395732122619217,0.0077706523134777475,0.047721745169907,0.02464152489843125
2005-06-30,0.007859999999999999,0.013996774391597012,0.007859999999999999,0.0006375911177917829,0.007498121836462931,0.004248795558895891,0.0483682909650805,0.024502941041436143
2005-08-31,0.0012000000000000001,-3.068007793511386e-05,0.00182,0.0003693044323221529,0.0007195414514623464,0.0007846522161610765,0.0242657370052472,0.012317520718784676
2005-09-30,-0.01014,0.00014418192804377465,-0.0071400000000000005,-0.0029140264423461707,-0.0033032815047674656,-0.006527013221173085,0.0395832962298195,0.018334634893736663
2005-10-31,0.0028799999999999997,0.01009307268497621,0.00564,0.0016116463642573055,0.005781573016411172,0.0022458231821286525,-0.0570764161207122,-0.027732384878227448
2005-11-30,8.000000000000003e-05,-0.0010252922793217289,-0.00098,-0.00010165129214221162,-0.0007023145238213135,-1.0825646071105793e-05,0.0361902192733163,0.018044283990587044
2006-01-31,0.0007399999999999997,-0.0028315032630077267,-0.0016800000000000003,-0.0011431702200058846,-0.0018848911610045373,-0.00020158511000294247,0.0886524141543797,0.04375462196718691
2006-02-28,0.01002,0.0013424046340924024,0.01002,0.0027532403567844233,0.004705214996958942,0.0063866201783922116,-0.0548644959961563,-0.02605562781968594
2006-03-31,0.007619999999999999,-0.00596385201879906,0.00494,0.002634341375038423,0.0005368297854131211,0.005127170687519211,0.0296479538171408,0.016141147596089613
2006-05-31,0.0029200000000000003,-0.0038910250059911904,0.00196,-0.0001656569036355753,-0.0006988939698755886,0.0013771715481822125,-0.0452136903873183,-0.02268967364547694
2006-06-30,0.0014399999999999992,-0.006154786891260769,0.0017199999999999997,-0.00025751417912422373,-0.0015641003567949978,0.0005912429104378877,-0.010305983316951,-0.005281748748037612
2006-07-31,0.00172,0.005187897112744624,0.0004399999999999994,0.0009492651224124451,0.0021923874117190227,0.0013346325612062226,-0.0232182428009882,-0.011134488839287877
2006-08-31,0.0035000000000000005,0.0023305000468677077,0.00536,0.001117038253449608,0.002935846100105772,0.0023085191267248045,0.0002432620831778,0.0006801501683137039
2006-10-31,0.00354,0.0030662785699755836,0.00228,0.0005285335434215531,0.001958270704465712,0.0020342667717107767,0.0538249374127584,0.027176735478089978
2006-11-30,0.00802,-0.004112855125719864,0.00964,-0.0005286882998231876,0.0016661521914856493,0.003745655850088406,0.0297840657986887,0.014627688749432757
2007-01-31,-0.00378,-0.00371403123833779,-0.0064399999999999995,-0.0007028561173581082,-0.0036189624518986325,-0.002241428058679054,0.0238010465431225,0.011549095212882197
2007-02-28,-0.0002999999999999999,0.0028083196847593916,0.00252,0.0010041170489966588,0.00211081224458535,0.00035205852449832946,-0.0135788266806233,-0.00628735481581332
2007-04-30,0.006380000000000001,0.006109465733560488,0.004620000000000001,0.003412493140664284,0.004713986291408258,0.0048962465703321426,0.0378897516823094,0.020651122411486842
2007-05-31,-0.00352,-0.0041427585537628,-0.00364,-0.0014573385002453639,-0.0030800323513360543,-0.002488669250122682,0.0133451250030989,0.005943893251426769
