,n_months,mean_ann,vol_ann,sharpe_ann,skew,excess_kurt,max_drawdown
static_eq_weight,433.0000,0.0362,0.0491,0.7375,-0.1871,2.6831,-0.1508
method_b_timed,433.0000,0.0095,0.0207,0.4566,2.5610,26.2101,-0.0346
