date,Static EW FF5,Method A,Method B,Method C,Ensemble
1990-01-31,0.004520000000000001,-0.0009594464238376801,0.00013637898859179655,-0.00014829325472062675,-0.00023717823574539754
1990-02-28,0.0031400000000000013,0.010982094622114169,-6.809258457242261e-05,-0.0039166942644114746,0.002344517608284763
1990-03-31,-0.011,0.0035234875851677372,-0.0012776721314827837,-0.00028447730920916066,0.0009088017068990057
1990-04-30,0.004379999999999997,0.01396446109202143,0.001206374186858884,0.0019733306802119767,0.00553198642630668
1990-05-31,-0.006319999999999999,0.0002298171139240063,-0.0010622150098695724,-0.0014073408756100254,-0.0005176225279983956
1990-06-30,-0.004000000000000002,-0.009909616842679726,-0.00025812239745564533,-0.0014210564746572776,-0.0038092751558711268
1990-07-31,-0.019699999999999995,-0.01849079706340519,-0.0024517377007597764,0.013043330602348083,-0.002187045070420719
1990-08-31,-0.011179999999999999,0.0031994672417613003,-0.0014892261305063132,-0.009307568287729839,-0.0021840537693153623
1990-09-30,-0.007940000000000001,-0.0027721137810899276,-0.003717237677876227,-0.010014913393761635,-0.004874229616753549
1990-10-31,-0.0014600000000000001,-0.006793844749512179,2.386056249963457e-05,0.013334547574830722,0.0022247040574533586
1990-11-30,0.00438,-0.0017283287777553175,0.00241457436584895,0.002144390636188545,0.0005770857085599474
1990-12-31,0.0087,-0.004367666609354064,0.005636832151650975,0.008094504006657871,0.0021918186747910146
1991-01-31,0.020419999999999997,0.01569940793074797,0.009311675694321234,0.009075982209418344,0.009822690116510473
1991-02-28,0.007340000000000001,0.006065757693876759,0.005450014947131541,0.0037186349290807288,0.004204757645149512
1991-03-31,0.00606,0.002269689714506809,0.00037422384779016904,0.0010503855533167828,0.0011981737950556752
1991-04-30,0.005979999999999998,0.005085963722744917,0.0002685281921266017,-0.007897909465214115,-0.0008655115208376415
1991-05-31,-0.0022600000000000007,-0.0014641172678164804,0.0005059599090143408,-0.0028997610280734097,-0.0013501355792591343
1991-06-30,0.004200000000000001,0.0013907342402817097,0.002688689784564194,0.0012612422768171184,0.001372677787742972
1991-07-31,0.006959999999999998,-0.00021545537558174867,0.0018200978091674285,0.00417272019805172,0.0016267886705135283
1991-08-31,-0.0061,-0.005992931640816412,-0.0009271848686467757,-0.0023884551621473483,-0.0028995211969452773
1991-09-30,-0.00047999999999999936,0.0004124500864243508,-0.0007783662765808569,-0.0028714315482613055,-0.0009016869643632605
1991-10-31,-0.01174,-0.005883272189429999,0.0004133642077585845,-0.005050598670552512,-0.003556394825796514
1991-11-30,0.009499999999999996,0.01668528513597339,-0.001621009288813205,0.007553255316571821,0.007845117128938381
1991-12-31,0.030699999999999995,-0.0090744630064922,-0.00018306531985022258,-0.00998297823151521,-0.006331464372098275
1992-01-31,0.022439999999999998,0.014169331629461051,0.0009449133071223149,0.013492932801735035,0.00941355810165043
1992-02-29,0.0033999999999999994,0.005641950363952998,0.00406175672473943,0.009585285930909184,0.005763678881805164
1992-03-31,0.0075,0.014019700528713949,0.0030238227376309054,0.003242124277799965,0.00627644452360393
1992-04-30,0.0023799999999999997,0.002669135320148286,0.001457075024304181,0.0035585915120232583,0.0023396232547716134
1992-05-31,-0.0019199999999999992,0.0016973308520659813,0.0017685917594250414,0.004650502956640048,0.0024136638896879075
1992-06-30,0.00578,0.0020394614110726813,-0.0017414634163307613,-0.0034127332683673585,-0.000741155683004374
1992-07-31,-0.0036799999999999984,0.0005029434043841112,-0.001262584576504236,-0.005464656427615149,-0.001820769128819164
1992-08-31,0.004799999999999999,0.0002715287941148155,0.00018404275041313756,-0.0007094918544749031,-6.755542370669347e-05
1992-09-30,0.0028199999999999996,-0.0007398313012939564,0.0005528387510398572,-0.00560643708268099,-0.001960752019106284
1992-10-31,0.008759999999999997,0.01011183896922793,-0.0013796357641180624,-0.004109808789220498,0.001790189417554311
1992-11-30,0.012260000000000002,0.0009485025135979764,0.0004888525685858234,-0.0012842902151675023,-2.480390355588786e-05
1992-12-31,0.01962,-0.0039027749050567053,0.0011885977246416358,-0.001296572923972447,-0.0015307288324823251
1993-01-31,0.013820000000000002,0.009297046437555037,0.006982520317998618,0.006983664013403926,0.0066019206457766984
1993-02-28,0.008539999999999999,0.006818603041084949,0.0009308797403510978,-0.0019500722277377264,0.0017826236848132297
1993-03-31,-0.007240000000000001,-0.0026126056325743055,0.004028962084599201,0.004039014899165719,0.0011535108143553455
1993-04-30,0.0004000000000000007,-0.006273891960484122,-0.0034585380778565655,-0.0037165363200951434,-0.003850262853895145
1993-05-31,0.006619999999999999,0.005998041626146937,0.00391202318478684,0.0008445682848986561,0.0029624689812216337
1993-06-30,0.0073999999999999995,0.006188817023285624,0.0037260401013681768,0.00625630070391806,0.004790932130724349
1993-07-31,0.005000000000000003,0.005990679746167589,-0.0008378760261850239,-0.006450095501164574,-0.00026661949636821606
1993-08-31,0.00544,-0.003925234899962369,-0.0008919107886660183,-0.0023800394730676766,-0.002226180609080209
