date,MKT_RF,SMB,HML,RMW,CMA
1990-01-31,0.0,0.011,0.0,-0.0009,-0.0
1990-02-28,0.0178,0.0159,-0.0,0.0199,-0.0
1990-03-31,-0.0336,-0.0034999999999999996,-0.0,0.0178,-0.0
1990-04-30,0.08439999999999999,-0.0005,-0.0,0.0168,-0.0
1990-05-31,-0.0005,0.0126,-0.0205,-0.009899999999999999,-0.0
1990-06-30,-0.0195,-0.0315,-0.0005,-0.001,0.0
1990-07-31,-0.1013,-0.0379,0.0,-0.0048,0.0
1990-08-31,-0.0005,-0.037200000000000004,0.0,0.0003,0.0357
1990-09-30,-0.0,-0.0506,0.0,0.0317,-0.0025
1990-10-31,0.0,0.0002,-0.0,0.0058,-0.0471
1990-11-30,0.0,0.006,-0.0,0.026600000000000002,-0.019799999999999998
1990-12-31,0.046400000000000004,0.0387,-0.0,0.0134,-0.0407
1991-01-31,0.0721,0.04019999999999999,-0.0,-0.0006,-0.0034000000000000002
1991-02-28,0.026699999999999998,0.0381,-0.013500000000000002,-0.0052,-0.009899999999999999
1991-03-31,-0.0029,0.0034999999999999996,0.0149,0.0067,0.008100000000000001
1991-04-30,0.0366,0.0014000000000000002,-0.0052,0.0207,-0.0236
1991-05-31,-0.049400000000000006,-0.0005,0.0108,0.0175,0.0068000000000000005
1991-06-30,0.0424,-0.0,-0.013000000000000001,0.016,-0.0144
1991-07-31,0.0232,0.0,-0.0079,0.0085,-0.0032
1991-08-31,-0.0159,0.0,-0.0123,-0.0177,-0.0005
1991-09-30,0.0129,0.008,-0.0043,-0.0165,-0.0
1991-10-31,-0.042,-0.0088,-0.0177,0.011000000000000001,-0.0
1991-11-30,0.10859999999999999,-0.0005,-0.0005,0.036699999999999997,-0.0
1991-12-31,-0.0005,0.0,0.0,-0.0005,0.0
1992-01-31,0.0104,0.0125,0.06459999999999999,0.0002000000000000001,0.022
1992-02-29,-0.026600000000000002,-0.0089,0.0349,-0.0006,0.0182
1992-03-31,0.0109,-0.0575,0.0436,0.0165,0.024
1992-04-30,0.003,0.002,0.0111,-0.0091,0.0049
1992-05-31,-0.0233,-0.0276,0.032400000000000005,-0.0006,0.0095
1992-06-30,0.0378,-0.006500000000000001,-0.0051,0.0124,-0.0097
1992-07-31,-0.023799999999999998,-0.0005,-0.0109,0.0366,-0.016399999999999998
1992-08-31,0.011899999999999999,0.0,-0.0019,0.0161,-0.0068000000000000005
1992-09-30,0.0102,0.0,-0.0005,0.011899999999999999,-0.0005
1992-10-31,0.0414,0.0383,-0.0,-0.0054,-0.0
1992-11-30,0.015300000000000001,0.0165,0.0,-0.0052,0.0
1992-12-31,0.009300000000000001,0.0194,0.0,-0.019,0.0
1993-01-31,0.0012,-0.0337,0.06430000000000001,-0.004699999999999999,0.041
1993-02-28,0.0232,0.0009,0.0126,-0.0022,0.008199999999999999
1993-03-31,-0.0305,-0.008100000000000001,0.0255,-0.0369,0.0138
1993-04-30,0.028900000000000002,-0.0005,-0.0346,-0.0005,-0.0103
1993-05-31,0.003,0.0006999999999999999,0.0264,-0.0,0.0116
1993-06-30,-0.0034000000000000002,-0.0005,0.0287,-0.0,0.020499999999999997
1993-07-31,0.037200000000000004,0.0,0.0018,-0.0,0.0004
1993-08-31,-0.0012,0.0,-0.0024,0.0,-0.0019
1993-09-30,0.0141,0.0181,-0.0278,0.0,-0.0005
1993-10-31,-0.018600000000000002,-0.0131,-0.0078000000000000005,0.0,-0.0
1993-11-30,0.0165,0.013500000000000002,-0.0005,0.0,-0.0
1993-12-31,0.0287,-0.0005,0.0,-0.0159,0.0
1994-01-31,-0.0255,-0.0005,-0.0,0.0208,-0.0
1994-02-28,-0.0479,-0.0108,0.0,0.006500000000000001,0.0
1994-03-31,0.0068000000000000005,-0.0005,0.0,0.0105,0.0
1994-04-30,0.0058,-0.0,0.0,0.0064,0.0
1994-05-31,-0.0304,-0.0,0.0,0.0105,0.0
1994-06-30,0.0282,-0.0,0.0,-0.0066,0.0
1994-07-31,0.04019999999999999,0.0,-0.0,0.0098,-0.0
1994-08-31,-0.022799999999999997,0.0,-0.0,0.005600000000000001,0.0
1994-09-30,0.013500000000000002,-0.0,-0.0,0.0018,-0.0
1994-10-31,-0.0403,0.0,-0.0,0.0048,-0.0
1994-11-30,0.0086,-0.0,-0.0,0.004,0.0
1994-12-31,0.018000000000000002,-0.0,0.0,0.0015,-0.0
1995-01-31,0.0363,-0.0,0.0,0.0060999999999999995,-0.0
1995-02-28,0.0219,-0.0,-0.0,-0.0013,0.0
1995-03-31,0.021099999999999997,-0.0,0.0,0.0043,0.0
1995-04-30,0.028999999999999998,-0.0,0.0,0.0040999999999999995,0.0
1995-05-31,0.027200000000000002,0.0,-0.0,-0.0023,-0.0
1995-06-30,0.0371,0.0,-0.0,0.0022,-0.0
1995-07-31,0.0055000000000000005,0.0,0.0,-0.011699999999999999,0.0
1995-08-31,0.0336,-0.0,-0.0,0.009899999999999999,0.0
1995-09-30,-0.0151,-0.0,-0.0,0.019299999999999998,-0.0
1995-10-31,0.039599999999999996,-0.0111,0.0,-0.005699999999999999,0.0
1995-11-30,0.0104,-0.0005,0.0,-0.0144,0.0
1995-12-31,0.0226,-0.0,0.0,0.0026,0.0225
1996-01-31,0.013300000000000001,0.0,-0.0,0.0016,-0.0189
1996-02-29,0.0074,0.0,0.0,0.0144,-0.0095
1996-03-31,0.020499999999999997,0.0,-0.0,-0.002,-0.0203
1996-04-30,0.0236,0.0318,-0.0,0.0003,-0.0033
1996-05-31,-0.0113,-0.036699999999999997,0.0,0.035,0.012
1996-06-30,-0.0596,-0.0378,0.0,0.028999999999999998,0.0268
1996-07-31,0.0277,0.0258,-0.0087,-0.0005,-0.024700000000000003
1996-08-31,0.0501,-0.0141,-0.0274,0.0125,-0.0213
1996-09-30,0.0087,-0.0379,0.048799999999999996,0.0138,0.0297
