date,return
2000-02-29,-0.03885935073408863
2000-03-31,-0.0010638167205989694
2000-05-31,-0.0016197106757544853
2000-06-30,0.02638427002079651
2000-07-31,-0.0028971044919029374
2000-08-31,0.020069445658196534
2000-10-31,0.02995518701591238
2000-11-30,0.04404780574888901
2001-01-31,0.045346360708706
2001-02-28,0.033916286590854744
2001-04-30,0.023453527888793287
2001-05-31,0.008885998743429343
2001-07-31,0.047896590265211855
2001-08-31,-0.002880105074827742
2001-10-31,0.013143765720528142
2001-11-30,0.019749697776416848
2001-12-31,0.0257395200759993
2002-01-31,0.03659350604583274
2002-02-28,0.018183019432740113
2002-04-30,0.003876171578095019
2002-05-31,0.014493403790389672
2002-07-31,0.00022108839797561596
2002-09-30,0.014722129961704378
2002-10-31,0.019085791137737406
2002-12-31,-0.008519260952500371
2003-01-31,-0.0064954539983852165
2003-02-28,0.005062446544396319
2003-03-31,0.012008545143824774
2003-04-30,0.013230812406787215
2003-06-30,-0.004549216140191916
2003-07-31,0.011611074008449653
2003-09-30,0.002659999295499457
2003-10-31,0.016501107060721696
2003-12-31,0.011170058848153695
2004-03-31,-0.014231264668958927
2004-04-30,-0.0016400984411094285
2004-06-30,0.0005773309166351939
2004-08-31,0.005198861614309362
2005-01-31,0.01096522213283578
2005-02-28,-0.0024158965951071457
2005-03-31,-0.0037348393272584922
2005-05-31,0.009280021331482657
2005-06-30,0.008533192013745425
2005-08-31,0.0021984765845504133
2005-09-30,-0.010096148067678432
2005-10-31,0.007282027339774859
2005-11-30,-0.0010861829005211028
2006-01-31,-0.002834997970702339
2006-02-28,0.01282675420495991
2006-03-31,0.007606074290340351
2006-05-31,0.0018018605470153544
2006-06-30,0.0014686129461775903
2006-07-31,0.0013950854875475116
2006-08-31,0.0065041739865948685
2006-10-31,0.0028202999733516047
2006-11-30,0.009149483795697208
2007-01-31,-0.007172781313089621
2007-02-28,0.0035388814360624533
2007-04-30,0.008066145495618285
2007-05-31,-0.005118693942637522
2007-07-31,0.00182647346696012
2007-08-31,0.0005703204727774949
2007-10-31,-0.017020695029752227
2007-11-30,-0.0020915167220817085
2007-12-31,-0.013541869713215035
2008-01-31,-0.010006301956467746
2008-02-29,3.243531529276776e-05
2008-03-31,0.009897566458748414
2008-04-30,0.014203259230339892
2008-06-30,0.010660815863649113
2008-07-31,0.012435836116731458
2008-09-30,0.005980045054784111
2008-10-31,-0.021170888260555066
2008-12-31,-0.023324560532971123
2009-03-31,0.018318728285566802
2009-04-30,-0.009613378899622504
2009-06-30,0.005582924269031143
2009-07-31,0.005470390940736192
2009-08-31,0.01264525752716866
