,sharpe_static,sharpe_timed,mean_static,mean_timed,vol_static,vol_timed,mdd_static,mdd_timed,sharpe_uplift
MKT_RF,0.4748,0.4717,0.0744,0.0199,0.1567,0.0423,-0.5411,-0.0824,-0.0031
SMB,0.1191,0.1378,0.0121,0.0044,0.1017,0.0318,-0.3552,-0.1050,0.0187
HML,0.2555,0.0976,0.0301,0.0031,0.1180,0.0319,-0.5779,-0.1696,-0.1579
RMW,0.6411,0.2888,0.0584,0.0087,0.0912,0.0300,-0.2327,-0.0737,-0.3523
CMA,0.3501,0.4767,0.0269,0.0138,0.0769,0.0290,-0.2725,-0.0644,0.1267
