,alpha_ann,alpha_t,r2,idio_vol,beta_MKT_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA
Static MPSIF (synthetic),0.0000,7.7801,1.0000,0.0000,0.8800,-0.2000,-0.1000,0.4000,-0.4000
Inertia v2 overlay,0.0183,1.9912,0.8714,0.0515,0.8584,-0.2003,-0.1213,0.3319,-0.3114
