,n_months,start,end,mean_ann,vol_ann,sharpe_ann,skew,excess_kurt,max_drawdown
MKT_RF,752,1963-07,2026-02,0.07111276595744681,0.1542804185554671,0.46093189675837093,-0.5026972151418169,1.7556824275891247,-0.5575082231927492
SMB,752,1963-07,2026-02,0.022075531914893618,0.10478659150476424,0.21067134256285003,0.3597212683961323,3.07315428339705,-0.5647324403398244
HML,752,1963-07,2026-02,0.035310638297872336,0.10293869764154023,0.34302588926113403,0.09255428444152615,2.181495108224072,-0.5778632518889473
RMW,752,1963-07,2026-02,0.031962765957446806,0.07690287733883773,0.41562509835122735,-0.32474225830866515,11.110294374641567,-0.4177516397666837
CMA,752,1963-07,2026-02,0.029925000000000004,0.07166515576344756,0.4175669428358808,0.2712247639825478,1.3639865834072,-0.2724832776155628
