,n_months,mean_ann,vol_ann,sharpe_ann,skew,excess_kurt,max_drawdown
Static MPSIF,432.0000,0.1122,0.1395,0.8047,-0.3290,0.9324,-0.4481
Inertia overlay,432.0000,0.1270,0.1436,0.8849,0.1069,1.2406,-0.3826
