,n_months,mean_ann,vol_ann,sharpe_ann,skew,excess_kurt,max_drawdown
static_eq_weight,433.0000,0.0362,0.0491,0.7375,-0.1871,2.6831,-0.1508
method_a_timed,433.0000,0.0235,0.0362,0.6502,0.3569,2.0665,-0.1130
