,sharpe_static,sharpe_timed,mean_static,mean_timed,vol_static,vol_timed,mdd_static,mdd_timed,sharpe_uplift
MKT_RF,0.5993,0.4935,0.0906,0.0477,0.1512,0.0967,-0.5411,-0.3061,-0.1058
SMB,0.0908,0.1268,0.0096,0.0106,0.1059,0.0838,-0.4210,-0.2889,0.0360
HML,0.1661,0.0999,0.0186,0.0097,0.1121,0.0970,-0.5779,-0.5102,-0.0662
RMW,0.4646,0.5406,0.0418,0.0295,0.0900,0.0546,-0.4178,-0.2102,0.0760
CMA,0.2705,0.3240,0.0204,0.0201,0.0755,0.0619,-0.2725,-0.1697,0.0535
