permno,mcap,mom_12_1,z_mom,z_growth,z_value,combo,weight,asof
39490,4164.0295,0.9342188656280703,1.5708739786353387,2.4451308914753827,0.26482145385959627,1.4269421079901061,0.032509304166516734,2000-01-31
82598,14989.80175,2.1344326075937494,3.923886801802969,1.1507019852217664,-1.0460869681734952,1.34283393961708,0.030834308956869217,2000-01-31
83435,86407.7584375,1.442839816522787,2.5680227178481623,2.48979569201685,-1.0927646177527046,1.3216845973707692,0.03041312457448374,2000-01-31
60871,16311.9165,2.12605044911879,3.907453623538321,0.7147131388811087,-0.8742839402481338,1.2492942740570987,0.028971487607221957,2000-01-31
14593,16720.24625,1.4962041375867012,2.6726431928290393,1.4972400917934328,-0.5617703764337754,1.2027043027295654,0.028043658832671445,2000-01-31
77284,37337.625,2.210303328340014,4.0726309567620245,0.794389687428676,-1.3069180449519642,1.1867008664129122,0.02772495400665017,2000-01-31
48267,12121.0875,1.4161072265761665,2.515613613751537,1.4780997949039698,-0.7019673319125612,1.0972486922476483,0.02594353412653988,2000-01-31
80599,8558.498375,0.5581927553589094,0.83367673753386,0.48240093195293277,1.70967100719907,1.0085828922286209,0.024177774710251548,2000-01-31
21792,6745.0175,-0.20139492515154012,-0.655490974905442,1.7033183218271786,1.9765664358313197,1.0081312609176853,0.024168780574521608,2000-01-31
54148,754.171875,-0.2538579598303007,-0.7583444825975257,0.7585284745451686,3.019433497711312,1.0065391632196516,0.024137074307828577,2000-01-31
77178,83601.052,2.210303328340014,4.0726309567620245,-0.06785465577522841,-1.01106165602842,0.9979048816527921,0.02396512453715832,2000-01-31
51377,9080.295,2.210303328340014,4.0726309567620245,-0.46540975033854437,-0.6532541102706958,0.9846556987175948,0.02370127004623926,2000-01-31
10104,142233.74498672,2.035555484536831,3.7300387143033134,0.14331805895060365,-0.9519810202415159,0.9737919176708004,0.023484920296101604,2000-01-31
23931,2968.273,-0.22688053038272837,-0.7054553719277257,2.200407908860066,1.4170422471058899,0.9706649280127434,0.023422647002090093,2000-01-31
26075,1545.20625,0.4830928042217886,0.6864436724003988,1.9735433865664789,0.15708834086945225,0.9390251332787766,0.022792547623649448,2000-01-31
75510,6531.1283125,1.8232446706760777,3.3138044636494874,0.006540094797550709,-0.6310318511688031,0.8964375690927451,0.021944425884916685,2000-01-31
23915,6935.70075,0.5929700011816872,0.9018573477986848,1.0031711502301244,0.7729074711935615,0.8926453230741235,0.02186890416047698,2000-01-31
82686,12299.10975,1.7144813942871395,3.100574623759673,0.5499820944879174,-0.9898123513859026,0.886914788953896,0.021754781865511146,2000-01-31
13821,1110.4375,0.03288189415568166,-0.19619248437325948,2.100254418662341,0.685598898750968,0.8632202776800165,0.021282911015789784,2000-01-31
22293,42544.46375,1.6726897374394203,3.018642297020061,0.4828809654105113,-0.9291231812566535,0.8574666937246396,0.02116832968855389,2000-01-31
12503,2444.3333125,0.37981746126720894,0.48397289757726775,0.510775123643396,1.4828450931208899,0.8258643714471846,0.020538976565635924,2000-01-31
76090,2563.8229375,0.7773121244104384,1.2632591253660697,0.3685306746808226,0.8028063822620322,0.8115320607696415,0.020253551829936132,2000-01-31
11340,5330.91,0.24135147699485393,0.21251105276305002,1.7829311392813942,0.40493460736388315,0.8001255998027759,0.02002639473154593,2000-01-31
