,alpha_monthly,alpha_annual,alpha_t,alpha_p,r2,n_obs,MKT_RF_beta,MKT_RF_t,SMB_beta,SMB_t,HML_beta,HML_t,RMW_beta,RMW_t,CMA_beta,CMA_t,UMD_beta,UMD_t
DM OOS (net),0.0046,0.0546,1.5220,0.1280,0.0104,313.0000,-0.0230,-0.2943,-0.0658,-0.6859,0.0600,0.6534,-0.1464,-1.4693,-0.0194,-0.1376,-0.0696,-1.3076
Approach A (Ridge),0.0038,0.0455,1.1324,0.2575,0.0390,313.0000,-0.0260,-0.3032,-0.0582,-0.6460,0.1791,1.7556,-0.1952,-1.8192,-0.1370,-0.8599,-0.1334,-2.3472
