,n_months,mean_ann,vol_ann,sharpe_ann,skew,excess_kurt,max_drawdown
Static UMD,793,0.07471324085750314,0.14217290740820426,0.5255096925252281,-1.3193356817583477,10.0409161981655,-0.578176699381353
DM OOS (net),793,0.10477377810200877,0.14191382329081542,0.7382915608390185,-0.33925035289982775,4.41356827974845,-0.3394213808812805
Approach C (HMM),793,0.07735091839110737,0.1070663963597558,0.7224574751838952,-0.40210445463043126,5.77507251942329,-0.3063331484276557
