,n_months,mean_ann,vol_ann,sharpe_ann,skew,excess_kurt,max_drawdown
Static UMD,313,0.021592332268370595,0.17501601903300654,0.12337346254172576,-1.472499516192553,9.447144227963303,-0.578176699381353
DM OOS (net),313,0.06266169928900031,0.16954264484866358,0.3695925549877621,-0.2025323101139155,4.987575665277031,-0.27407829040035436
Approach B linear,313,0.021522548981724735,0.14996587492708757,0.1435163099084299,-1.379473474665054,9.50423258766165,-0.5175316201391115
Approach B shield,313,0.032365495207667724,0.0901879122491011,0.3588673293409152,0.49817258704435086,8.120288332096019,-0.23522993884606758
