,n_months,start,end,mean_ann,vol_ann,sharpe_ann,skew,excess_kurt,max_drawdown
Full (1927+),1190,1927-01,2026-02,0.07342487394957983,0.16211380646016854,0.4529217810182032,-3.061929763664,28.063207857970443,-0.7862492274583319
Post-1963,752,1963-07,2026-02,0.07157872340425532,0.14447335720865503,0.49544583712329776,-1.3069169871275648,9.836493626884561,-0.5781766993813529
Post-2000,314,2000-01,2026-02,0.022234394904458585,0.1747670810443313,0.1272230146066159,-1.477129245509228,9.483998024524064,-0.578176699381353
