,alpha_monthly,alpha_annual,alpha_t,alpha_p,r2,n_obs,MKT_RF_beta,MKT_RF_t,SMB_beta,SMB_t,HML_beta,HML_t,RMW_beta,RMW_t,CMA_beta,CMA_t,UMD_beta,UMD_t
DM OOS (net),0.0046,0.0546,1.5220,0.1280,0.0104,313.0000,-0.0230,-0.2943,-0.0658,-0.6859,0.0600,0.6534,-0.1464,-1.4693,-0.0194,-0.1376,-0.0696,-1.3076
Approach C (HMM),0.0025,0.0304,1.3971,0.1624,0.0125,313.0000,-0.0478,-0.9368,-0.0547,-0.7962,0.0849,1.0671,-0.1258,-1.6964,-0.0797,-0.5824,-0.0304,-0.8062
